idbusinessinfo,clientname,week,estimated_load_date,pre_etd,etd,eta,vessel_voyage,pol,pod,businessinfocol,numctrs,type_ctrs,booking_no,master_no,num_hbls,container_no,shipping_line,freeddday,cost_org,sale_org,set_org,local_org,venta_dest,costhbl_dest_description,costhbl_dest,costhbl_dest_status,topaid_org_description,topaid_org,topaid_status,toinvoice_dest_description,toinvoice_dest,toinvoice_dest_status,profit,hbl_canjeado_status,devolution_ctrs_inidate,devolution_ctrs_findate,operation_status,bl_type,release_type
46,*–HONG,2022-W02,,2022-01-15,2022-01-19,2022-03-06,MSC BERYL / FA201A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A008A,MEDUNV333111,,,MSC,14,10426,12500,11500,0,,,,,,,,,,,,,,,,,
47,èåWS CARGO,2022-W03,,2022-01-02,2022-01-02,2022-02-27,A.P.MOLLER 202E,NINGBO,"San Antonio,Chile",,1,40HQ,215733183,MAEU215733183,,,MSK,19,12031,13100,12550,0,,,,,,,,,,,,,,,,,
48,*–HONG,2022-W03,,2022-01-22,2022-01-27,2022-03-13,MSC RUBY / FA202A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A032A,MEDUNV478437,,,MSC,14,13126,13900,13513,0,,,,,,,,,,,,,,,,,
49,èåWS CARGO,2022-W03,,2022-01-22,2022-01-27,2022-03-13,MSC RUBY / FA202A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A033A,MEDUNV478445,,,MSC,14,13126,13900,13513,0,,,,,,,,,,,,,,,,,
50,èåWS CARGO,2022-W03,,2022-01-22,2022-01-27,2022-03-13,MSC RUBY / FA202A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A034A,MEDUNV478452,,,MSC,14,13126,13900,13513,0,,,,,,,,,,,,,,,,,
51,èåWS CARGO,2022-W09,,2022-03-05,2022-03-11,2022-04-18,MSC EMMA/FA208A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A112A,MEDUNV938166,,,MSC,14,10026,10300,10163,0,,,,,,,,,,,,,,,,,
52,èåWS CARGO,2022-W09,,2022-03-05,2022-03-11,2022-04-18,MSC EMMA/FA208A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A113A,MEDUNV938174,,,MSC,14,10026,10300,10163,0,,,,,,,,,,,,,,,,,
53,èåWS CARGO,2022-W09,,2022-03-05,2022-03-11,2022-04-18,MSC EMMA/FA208A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A114A,MEDUNV938182,,,MSC,14,10026,10300,10163,0,,,,,,,,,,,,,,,,,
54,èåWS CARGO,2022-W11,,2022-03-16,2022-03-16,2022-04-24,MAERSK STEPNICA¬†210,NINGBO,"San Antonio,Chile",,1,40HQ,216889730,MAEU216889730,,,MSK,19,9500,9800,9650,0,,,,,,,,,,,,,,,,,
55,€~≈NUEVO SIGLO,2022-W11,,2022-03-16,2022-03-16,2022-04-19,EVER LISSOME 052E,NINGBO,"San Antonio,Chile","ÓÑ/9(200, ˝Ö--200 ",1,40HQ,OOLU2131624930,OOLU2131624930A,,,OOCL,18,9400,9500,9450,-200,,,,,,,,,,,,,,,,,
56,èåWS CARGO,2022-W11,,2022-03-19,2022-03-21,2022-05-04,EVER LIBRA V.060E,NINGBO,"San Antonio,Chile",,1,40HQ,NBST626985,MBL_NBST626985,,,CMA,16,7500,8600,8050,0,,,,,,,,,,,,,,,,,
57,öéASIAMERIC,2022-W11,,2022-03-19,2022-03-21,2022-04-28,EVER LIBRA V.060E,NINGBO,"San Antonio,Chile",,1,40HQ,ELGV143200107004,143200107004,,,EMC,14,8400,8600,8500,370,,,,,,,,,,,,,,,,,
58,öéASIAMERIC,2022-W11,,2022-03-19,2022-03-21,2022-04-28,EVER LIBRA V.060E,NINGBO,"San Antonio,Chile",,1,40HQ,EGLV143200107012,143200107012,,,EMC,14,8400,8600,8500,370,,,,,,,,,,,,,,,,,
59,èåWS CARGO,2022-W12,,2022-02-25,2022-03-03,2022-05-07,YM UTILITY 076E,NINGBO,"San Antonio,Chile",,1,40HQ,NBST627470,MBL_NBST627470,,,CMA,14,7500,7600,7550,0,,,,,,,,,,,,,,,,,
60,èåWS CARGO,2022-W12,,2022-02-25,2022-03-03,2022-05-04,YM UTILITY 076E,NINGBO,"San Antonio,Chile",,1,40HQ,NBST627544,MBL_NBST627544,,,CMA,14,7500,7600,7550,0,,,,,,,,,,,,,,,,,
61,èåWS CARGO,2022-W13,,2022-04-02,2022-04-08,,MSC ELISA / FA212A,NINGBO,"San Antonio,Chile",•;ËÂWK12†Andes MSC JEWEL FA211A†(ETD:26/MAR)÷à`Å‚@	'i1MSC ELISA FA212A(ETD 02/APR)†„ˇ˙–,1,40HQ,177FNBNBN1A211A,,,,MSC,14,7100,7600,7350,0,,,,,,,,,,,,,,,,,
62,èåWS CARGO,2022-W13,,2022-04-02,2022-04-08,,MSC ELISA / FA212A,NINGBO,"San Antonio,Chile",•;ËÂWK12†Andes MSC JEWEL FA211A†(ETD:26/MAR)÷à`Å‚@	'i1MSC ELISA FA212A(ETD 02/APR)†„ˇ˙–,1,40HQ,177FNBNBN1A212A,,,,MSC,14,7100,7600,7350,0,,,,,,,,,,,,,,,,,
63,öéASIAMERIC,2022-W13,,2022-04-02,2022-04-08,,MSC ELISA / FA212A,NINGBO,"San Antonio,Chile",•;ËÂWK12†Andes MSC JEWEL FA211A†(ETD:26/MAR)÷à`Å‚@	'i1MSC ELISA FA212A(ETD 02/APR)†„ˇ˙–,1,40HQ,177FNBNBN1A213A,,,,MSC,14,7100,7600,7350,370,,,,,,,,,,,,,,,,,
64,æ…˝Eö;KANG KANG,2022-W13,,2022-04-02,2022-04-08,,MSC ELISA / FA212A,NINGBO,"San Antonio,Chile",•;ËÂWK12†Andes MSC JEWEL FA211A†(ETD:26/MAR)÷à`Å‚@	'i1MSC ELISA FA212A(ETD 02/APR)†„ˇ˙–w–9Ñÿ ˙$h–U 2h•s,1,40HQ,177FNBNBN1A214A,,,,MSC,14,7100,7800,7450,0,,,,,,,,,,,,,,,,,
65,èåWS CARGO,2022-W13,,2022-04-02,2022-04-08,,MSC ELISA / FA212A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A215A,,,,MSC,14,7100,7600,7350,0,,,,,,,,,,,,,,,,,
66,èåWS CARGO,2022-W13,,2022-04-02,2022-04-08,,MSC ELISA / FA212A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A216A,,,,MSC,14,-7100,7600,7350,0,,,,,,,,,,,,,,,,,
67,€~≈NUEVO SIGLO,2022-W13,,2022-04-02,2022-04-08,,MSC ELISA / FA212A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A217A,,,,MSC,14,-7100,7500,7300,0,,,,,,,,,,,,,,,,,
68,èåWS CARGO,2022-W13,,2022-04-02,2022-04-08,,MSC ELISA / FA212A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A218A,,,,MSC,14,-7100,7600,7350,0,,,,,,,,,,,,,,,,,
69,èåWS CARGO,2022-W14,,2022-04-04,2022-04-04,,HENG HUI 6¬†¬†00,NINGBO,"San Antonio,Chile",,1,40HQ,NBST627922,,,,CMA,16,7000,7600,7300,0,,,,,,,,,,,,,,,,,
70,èåWS CARGO,2022-W14,,2022-04-04,2022-04-04,,HENG HUI 6¬†¬†00,NINGBO,"San Antonio,Chile",,1,40HQ,NBST627923¬,,,,CMA,16,7000,7600,7300,0,,,,,,,,,,,,,,,,,
71,èåWS CARGO,2022-W14,,2022-04-16,,,MSC DYMPHNA XA215A,NINGBO,"San Antonio,Chile",•;ËÂWK14 SEASPAN BRAVO 2213E ( (ETD 9-APR 2022)†d9ANDES/ANDES-3 SERVICE-†Çh<Ãâ /„Ñ'i1†MSC DYMPHNA XA215A(ETD 16-APR)•˙–,1,40HQ,177FNBNBN1A220A,,,,MSC,14,-7100,7300,7200,0,,,,,,,,,,,,,,,,,
72,èåWS CARGO,2022-W14,,2022-04-16,,,MSC DYMPHNA XA215A,NINGBO,"San Antonio,Chile",•;ËÂWK14 SEASPAN BRAVO 2213E ( (ETD 9-APR 2022)†d9ANDES/ANDES-3 SERVICE-†Çh<Ãâ /„Ñ'i1†MSC DYMPHNA XA215A(ETD 16-APR)•˙–,1,40HQ,177FNBNBN1A221A,,,,MSC,14,-7100,7300,7200,0,,,,,,,,,,,,,,,,,
73,èåWS CARGO,2022-W14,,2022-04-16,,,MSC DYMPHNA XA215A,NINGBO,"San Antonio,Chile",•;ËÂWK14 SEASPAN BRAVO 2213E ( (ETD 9-APR 2022)†d9ANDES/ANDES-3 SERVICE-†Çh<Ãâ /„Ñ'i1†MSC DYMPHNA XA215A(ETD 16-APR)•˙–,1,40HQ,177FNBNBN1A222A,,,,MSC,14,-7100,7300,7200,0,,,,,,,,,,,,,,,,,
74,èåWS CARGO,2022-W14,,2022-04-16,,,MSC DYMPHNA XA215A,NINGBO,"San Antonio,Chile",•;ËÂWK14 SEASPAN BRAVO 2213E ( (ETD 9-APR 2022)†d9ANDES/ANDES-3 SERVICE-†Çh<Ãâ /„Ñ'i1†MSC DYMPHNA XA215A(ETD 16-APR)•˙–,1,40HQ,177FNBNBN1A223A,,,,MSC,14,-7100,7300,7200,0,,,,,,,,,,,,,,,,,
75,,2022-W14,,2022-04-16,,,MSC DYMPHNA XA215A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A223A,,,,MSC,14,-7100,,,,,,,,,,,,,,,,,,,,
76,,2022-W14,,2022-04-16,,,MSC DYMPHNA XA215A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A223A,,,,MSC,14,-7100,,,,,,,,,,,,,,,,,,,,
77,,2022-W14,,2022-04-16,,,MSC DYMPHNA XA215A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A223A,,,,MSC,14,-7100,,,,,,,,,,,,,,,,,,,,
78,,2022-W14,,2022-04-16,,,MSC DYMPHNA XA215A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A223A,,,,MSC,14,-7100,,,,,,,,,,,,,,,,,,,,
79,,2022-W16,,2022-04-23,2022-05-03,,MSC BERYL FA215A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A336A,,,,MSC,14,,,,,,,,,,,,,,,,,,,,,
80,,2022-W16,,2022-04-23,2022-05-03,,MSC BERYL FA215A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A337A,,,,MSC,14,,,,,,,,,,,,,,,,,,,,,
81,,2022-W16,,2022-04-23,2022-05-03,,MSC BERYL FA215A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A338A,,,,MSC,14,,,,,,,,,,,,,,,,,,,,,
82,,2022-W16,,2022-04-23,2022-05-03,,MSC BERYL FA215A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A339A,,,,MSC,14,,,,,,,,,,,,,,,,,,,,,
